Number, Time, Scramble 
210,18.68,L2 D2 B2 L2 R2 D' F2 U R2 B2 L B' F R U2 R' F2 L' R F'
211,17.33,D2 F2 D2 L' F2 U2 F2 R2 F2 R2 U B' L' F' U L F' D2 R' U'
212,17.29,F R' D2 F' B D F' B' U F' L' U2 R L' F2 L F2 B2 U2
213,14.64,B' R F U R2 L' D' F2 D2 B L' B2 U2 R F2 B2 L' F2 L2
214,13.18,B F2 L R B2 L' F2 D2 R' D2 R2 F D' R F2 R2 B L2 U'
215,16.41,B L2 B2 D2 L2 D B2 D2 U R2 B R' U F L U' R2 F L2
216,19.20,B2 U L2 F2 U' L2 F2 U L D2 L2 R B' R D2 F' L D' U2
217,19.75,R' U2 B' U2 L2 F' L2 F D2 U2 B2 D F2 R' F' D2 U B F2 D
218,19.99,U2 B2 U R2 D R2 U2 R2 B2 U' L' U' B R' B2 R B' D F U2
219,12.09,F2 D2 F2 L2 D L2 F2 U R2 F2 D2 R U R2 B2 L2 B R' F D' R
220,17.07,U2 L2 U2 B2 F2 L R2 B2 U2 B' L2 D B U2 L' U L2 R2 F
221,15.12,D2 F' R2 U2 F D2 U2 F2 U2 R2 F' L' B F U F' R' D2 U L' F'
222,13.75,R2 F' D2 U2 B U2 B' F' L2 U2 R' U L B' R B2 U' R' F2 U F
223,13.45,F' L2 F D2 B' R2 D2 B L2 B2 R D2 B2 F D' R' U F D' L'
224,17.75,D2 R F2 U2 B2 L' B2 R2 U2 L' R2 F' D' L' D2 B2 L D' U2 B R
225,12.95,F' D2 B L2 B2 D2 L2 F' D' B2 L B2 U' F R2 D R' D
226,16.77,U' R' B2 R' B R' D' B D2 R' U' F2 U' R2 D' R2 L2 B2 D
227,15.85,D B2 U B2 D L2 U' F2 L2 D' R2 F' D' F' D2 F' R B' L2 R' F'
228,23.16,U2 D' R L D2 F2 B L2 F L R2 U' R2 D2 L2 B2 U' B2 U' L2
229,15.38,U' B L' D' B2 L U2 D F U B U2 L2 B' L2 F' U2 D2 F
230,18.41,D2 F R' F U' B' R D2 F U L2 B D2 R2 U2 D2 F' B U2
231,15.64,B2 R2 B2 L2 R2 D2 R2 D' B2 U2 L2 R' D R2 D' F' L' D U R' U
232,14.67,L2 F2 R2 D2 L2 F2 U' F2 D' R2 U2 R' D' B2 L' U' B U' F D' R
233,17.20,U B' D' R B2 L B L' B2 U' D2 R2 D2 F R2 L2 F B2 D2
234,15.92,L2 B U2 R2 B2 L2 B L2 U2 F' D F' R2 B2 F' L B2 R U2 L
235,16.88,U L B' R2 U' B2 D' F' R U B2 D2 F2 R' D2 L' D2 L2 F2 L
236,17.56,U2 L2 D' F2 R2 U F2 D R2 U2 B U' R D' F' U2 F L' U R2 B
237,16.50,L2 D' B2 D' F2 D' L2 D2 B2 U2 F' D B' R' F' D2 L' F2 U' R'
238,16.01,R F2 L' B2 D2 F2 U2 L' R' D2 R B L' D' U2 R2 B2 F L D' L'
239,15.52,D2 F2 D L2 F2 U2 B2 U' R F2 L U2 B' D B' R D' B
240,16.06,F2 L2 B R2 D2 F' L2 B2 U2 L2 F2 U' B D U2 B' L U' L F' R
241,14.76,F L2 U2 L' B' L2 B U2 R U F2 D2 F2 L2 B2 R2 U R2 U F2
